,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,1,2,2,12,5,0,2,3,0,0,0,0,6,4,0
1,2,5,2,3,13,0,3,3,0,0,0,0,6,0,0
2,6,2,1,1,8,1,6,1,0,0,0,0,6,0,0
3,1,2,0,1,8,0,4,5,0,1,0,0,6,0,0
4,2,2,1,1,8,1,8,1,1,0,0,0,6,0,0
5,8,2,0,5,9,1,5,1,0,0,0,6,6,0,1
6,5,2,1,5,9,1,5,1,0,0,0,0,7,0,0
7,6,4,1,1,8,1,11,1,0,0,0,0,9,0,1
8,1,2,0,5,9,3,5,3,4,1,0,0,3,21,0
9,7,1,2,6,11,0,5,0,0,1,0,5,0,0,0
10,2,2,1,1,8,2,6,0,0,0,0,0,6,0,0
11,1,2,2,1,8,0,2,3,1,0,0,0,6,0,0
12,3,2,0,1,8,2,0,5,0,1,0,0,6,0,0
13,8,2,1,1,8,6,0,4,0,1,0,0,6,0,0
14,3,2,1,10,14,1,3,2,0,1,0,0,9,0,1
15,3,2,1,1,8,4,0,4,0,1,0,0,5,0,0
16,6,2,1,5,9,1,0,1,1,0,0,0,6,0,1
17,5,2,1,1,8,1,11,1,0,0,0,0,6,0,0
18,11,1,1,5,9,6,0,0,0,0,0,0,6,0,0
19,2,2,2,4,4,0,13,0,0,1,0,0,5,4,0
20,3,2,0,1,8,0,8,0,0,0,0,0,6,0,0
21,6,2,0,1,8,2,5,0,0,0,0,0,7,0,0
22,4,0,1,6,11,0,0,0,1,0,0,0,6,0,0
23,3,2,2,6,11,1,0,2,0,1,0,0,6,0,1
24,5,2,1,1,8,4,8,4,0,0,0,0,6,0,0
25,8,2,2,9,10,0,10,0,0,0,0,0,6,0,1
26,4,2,1,1,8,4,4,4,1,1,0,0,4,0,0
27,6,2,2,9,10,1,7,1,0,0,0,0,11,0,0
28,5,2,3,1,8,1,4,1,0,0,0,0,3,4,0
29,5,2,1,0,12,1,0,1,0,0,0,0,6,0,1
30,3,2,2,0,12,1,5,1,0,0,1,0,7,0,1
31,7,2,2,3,13,1,1,1,0,0,0,0,7,0,1
32,2,2,1,1,8,1,4,2,0,1,0,6,5,0,1
33,0,2,0,5,9,0,4,3,0,0,0,0,4,0,0
34,5,2,1,5,9,1,5,1,0,0,0,0,9,0,1
35,8,1,2,4,4,4,10,0,0,0,0,0,6,0,0
36,10,2,1,1,8,6,5,5,0,1,0,0,5,0,0
37,2,2,4,5,9,1,1,1,0,0,0,0,9,0,0
38,8,2,2,5,9,1,9,1,0,0,1,0,6,0,1
39,6,2,2,9,10,2,10,4,0,0,0,0,6,0,0
40,9,4,1,1,8,6,4,0,0,1,0,0,2,0,0
41,8,2,2,5,9,2,0,0,0,0,0,0,4,0,0
42,1,2,2,5,9,0,1,0,0,1,0,0,6,0,0
43,0,2,2,14,7,0,5,3,0,1,0,0,3,0,0
44,1,2,2,1,8,0,5,0,0,1,0,0,4,0,0
45,2,2,0,1,8,1,2,1,1,0,0,0,6,0,0
46,6,2,4,1,8,1,4,3,0,1,0,0,2,0,0
47,2,2,1,1,8,0,9,0,0,1,0,0,6,0,0
48,2,2,2,0,12,0,0,0,0,1,0,0,6,0,0
49,4,5,3,5,9,1,1,1,0,0,0,0,7,0,1
50,3,2,0,0,12,4,3,0,0,0,1,0,6,0,1
51,7,2,0,1,8,1,10,1,0,0,0,0,6,0,0
